"Feature","MeanDecreaseGini","MeanDecreaseAccuracy"
"Net.Income.to.Total.Assets",61.8252440876002,-6.71815768772928
"Retained.Earnings.to.Total.Assets",57.2731035553213,-17.4774074667387
"Persistent.EPS.in.the.Last.Four.Seasons",55.8225794032868,-12.2207554808999
"ROA.B..before.interest.and.depreciation.after.tax",42.9541022972197,-13.0688243877482
"ROA.A..before.interest.and...after.tax",41.3049965744379,-4.19011022927685
"ROA.C..before.interest.and.depreciation.before.interest",36.6247304047491,-11.9709077283219
"Continuous.interest.rate..after.tax.",32.4922866087065,-11.2017354221056
"Per.Share.Net.profit.before.tax..Yuan.Â..",31.9857188619594,-6.73492802930779
"Total.debt.Total.net.worth",27.285042432835,-6.98769353500387
"Net.profit.before.tax.Paid.in.capital",27.1941520431698,-5.03055831298793
"Borrowing.dependency",25.8469630196904,-12.1801148846785
"Total.income.Total.expense",25.0094575664601,-5.69089428178978
"Debt.ratio..",21.2832707800021,-7.35496086239165
"Equity.to.Liability",20.5333883506671,-8.17676446140177
"Net.worth.Assets",18.9755989255673,-7.06278876650651
"Interest.Expense.Ratio",18.6134262117051,-1.90092126110124
"Cash.Turnover.Rate",18.4696386454077,1.92705989411673
"Pre.tax.net.Interest.Rate",17.8685745754756,-2.18692402841082
"Interest.bearing.debt.interest.rate",17.1670196234288,-9.85776916060298
"Quick.Ratio",16.0338324546167,-10.3885024431866
"After.tax.net.Interest.Rate",15.6063043999785,0.0535567897788488
"Non.industry.income.and.expenditure.revenue",14.5567038756547,-6.88603771144605
"Allocation.rate.per.person",13.9575296558694,-4.07762994777968
"Liability.to.Equity",13.0810470156955,-3.18486765446315
"Net.Income.to.Stockholder.s.Equity",12.8516764102196,-1.73202264940942
"Current.Liabilities.Equity",12.3359218867906,-4.98504270367991
"Quick.Asset.Turnover.Rate",11.97742038057,4.67322046047019
"Net.Value.Per.Share..A.",11.7667270452403,-1.30744787922331
"Interest.Coverage.Ratio..Interest.expense.to.EBIT.",11.3567432921669,3.98668244520231
"Net.Value.Per.Share..B.",10.610082069028,-3.40316731628588
"Cash.Flow.to.Liability",10.3710747241134,-10.1420598873291
"Inventory.Current.Liability",10.307251548667,-0.420393225770792
"Inventory.Working.Capital",9.96453121439797,9.13482022389041
"Current.Ratio",9.71100531783003,-2.58585385792732
"Net.Value.Per.Share..C.",9.37832414125437,-7.24091027115586
"Total.expense.Assets",9.30751971833298,-4.35901821052184
"Degree.of.Financial.Leverage..DFL.",9.23042729021738,-0.140555135344876
"Current.Liability.to.Current.Assets",8.76284178576463,-2.12945492682798
"Total.Asset.Growth.Rate",8.24916354245891,-4.90158168295408
"Operating.Profit.Rate",8.23358101874569,-8.23623863318931
"Operating.Profit.Per.Share..Yuan.Â..",8.16666270477397,-8.2015693840502
"Quick.Assets.Current.Liability",8.0800960829595,-6.08551943447014
"Current.Asset.Turnover.Rate",7.74835323445685,-2.45467805402169
"Cash.flow.rate",7.51748267986589,-6.87804890194984
"Inventory.Turnover.Rate..times.",7.40149116191657,0.803081461409631
"Current.Liability.to.Equity",7.39255796038646,-4.31883747566411
"Operating.profit.Paid.in.capital",7.18400002239138,-6.9094232810564
"Current.Liability.to.Assets",7.18174722517623,-5.32102619309383
"Fixed.Assets.Turnover.Frequency",7.17535992759641,1.67771017520168
"Cash.Total.Assets",7.02502157435322,-7.72922865942572
"Operating.Expense.Rate",6.9728717998045,0.194772711446593
"Total.Asset.Turnover",6.94662512802272,-0.0188085659425961
"Continuous.Net.Profit.Growth.Rate",6.93527917596508,-4.61462710648209
"Revenue.Per.Share..Yuan.Â..",6.88848212775902,-4.60430870470452
"Operating.profit.per.person",6.64937596844789,-2.34476996737772
"Operating.Profit.Growth.Rate",6.47702208600396,0.731209182332502
"Operating.Funds.to.Liability",6.40745497767566,-4.08429484902603
"Accounts.Receivable.Turnover",6.35137255007897,-0.650012024395148
"Quick.Assets.Total.Assets",6.0399093682493,-3.76598806000915
"Net.Value.Growth.Rate",5.9889590366768,-4.32638502810716
"Tax.rate..A.",5.68770847032437,-3.85636957884289
"Total.assets.to.GNP.price",5.67871007535408,-2.59317242343416
"Cash.Flow.to.Equity",5.65667780182865,-2.81563708472395
"Cash.Current.Liability",5.50333658625263,-4.49958933530488
"Cash.Flow.to.Total.Assets",5.50093572733666,-5.97960987648843
"Equity.to.Long.term.Liability",5.37169636874976,-5.44457719437103
"Working.Capital.Equity",5.34941016737193,0.637532135415467
"Realized.Sales.Gross.Profit.Growth.Rate",5.31918079260008,-0.457716194387809
"Average.Collection.Days",5.27156901566075,-0.412525126254896
"Cash.Flow.Per.Share",5.18016613878523,-5.16394896418992
"Working.Capital.to.Total.Assets",5.17551377503871,-1.07066030356051
"Regular.Net.Profit.Growth.Rate",5.15301742993491,-4.67635386486782
"Cash.Flow.to.Sales",5.13410785367376,-5.53616754880191
"Revenue.per.person",4.91901654374886,4.22319120110244
"Net.Worth.Turnover.Rate..times.",4.87697498603051,-2.04601307079819
"Operating.Gross.Margin",4.72726940069916,-0.992434552276993
"Inventory.and.accounts.receivable.Net.value",4.68049000892924,-2.96602634094823
"Realized.Sales.Gross.Margin",4.34811419970085,-0.165009646222374
"No.credit.Interval",4.279269440733,1.4574233675612
"After.tax.Net.Profit.Growth.Rate",4.19324293537712,-1.92839938690504
"Cash.Reinvestment..",4.1504515274725,-2.93268862350747
"Gross.Profit.to.Sales",4.12197477022548,-3.00415853443479
"Long.term.Liability.to.Current.Assets",4.10138077201201,-3.76230817449029
"Long.term.fund.suitability.ratio..A.",4.07378934358788,-0.115832914585749
"Current.Assets.Total.Assets",3.99796020467577,-3.78608458233468
"Current.Liabilities.Liability",3.81437463420236,0.961549263210399
"Working.capitcal.Turnover.Rate",3.7483036135579,0.681486907698324
"Current.Liability.to.Liability",3.70971433036509,0.925749740468663
"CFO.to.Assets",3.47911181030595,-2.14937783563658
"Total.Asset.Return.Growth.Rate.Ratio",3.40442963043895,-1.67876212615802
"Fixed.Assets.to.Assets",3.07499651069038,-0.534679830369662
"Research.and.development.expense.rate",2.99669570479245,1.70739919652477
"Contingent.liabilities.Net.worth",2.86424019832759,2.78220831358205
"Liability.Assets.Flag",0.0173662525236797,0
"Net.Income.Flag",0,0
